MB,MF,SMF,MFonMB,Subj,Choice
3.9473,4.9364,0.041475,4.0001,2,0
2.9473,-4.0636,3.0415,3.0001,2,0
-0.052669,-4.0636,0.041475,3.0001,2,1
3.9473,-4.0636,-3.9585,4.0001,2,1
-3.0527,2.9364,3.0415,3.0001,2,1
2.9473,2.9364,3.0415,3.0001,2,1
3.9473,-3.0636,-2.9585,3.0001,2,1
-4.0527,3.9364,-3.9585,-3.9999,2,0
1.9473,1.9364,2.0415,2.0001,2,1
-5.0527,1.9364,7.0415,-4.9999,2,1
4.9473,-2.0636,-3.9585,5.0001,2,1
5.9473,5.9364,6.0415,6.0001,2,1
4.9473,3.9364,4.0415,4.0001,2,1
-5.0527,-5.0636,-4.9585,-4.9999,2,0
-2.0527,4.9364,-1.9585,-1.9999,2,1
0.94733,0.93642,1.0415,1.0001,2,1
0.94733,-1.0636,-0.95852,-0.99986,2,0
-0.052669,-0.063576,0.041475,0.00014351,2,1
-0.052669,-0.063576,0.041475,0.00014351,2,0
1.9473,1.9364,2.0415,2.0001,2,1
1.9473,1.9364,2.0415,2.0001,2,1
-6.0527,1.9364,-5.9585,-5.9999,2,1
2.9473,2.9364,3.0415,3.0001,2,1
5.9473,-3.0636,5.0415,5.0001,2,1
5.9473,6.9364,7.0415,7.0001,2,1
-7.0527,-2.0636,-5.9585,-5.9999,2,0
-3.0527,-7.0636,-2.9585,-2.9999,2,1
2.9473,-7.0636,-2.9585,3.0001,2,0
-7.0527,-2.0636,-6.9585,-6.9999,2,1
3.9473,3.9364,4.0415,4.0001,2,1
-4.0527,-2.0636,-6.9585,-3.9999,2,0
-4.0527,-5.0636,-1.9585,-1.9999,2,0
4.9473,5.9364,6.0415,5.0001,2,1
-5.0527,3.9364,-4.9585,-4.9999,2,0
7.9473,7.9364,8.0415,8.0001,2,1
-2.0527,-5.0636,-1.9585,2.0001,2,0
3.9473,-4.0636,-3.9585,4.0001,2,0
-1.0527,5.9364,-3.9585,-0.99986,2,1
-6.0527,-6.0636,-5.9585,-5.9999,2,0
