MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-4.0514,-2.1713,-4.5093,-3.3569,-4.0901,-3.8729,6,0
3.9486,3.8287,3.4907,-1.3569,3.9099,4.1271,6,0
-3.0514,-3.1713,-3.5093,-3.3569,-3.0901,-2.8729,6,0
2.9486,-1.1713,2.4907,-3.3569,2.9099,-0.87291,6,0
1.9486,-3.1713,1.4907,-1.3569,-4.0901,2.1271,6,1
1.9486,-3.1713,-4.5093,-3.3569,-4.0901,-2.8729,6,0
-2.0514,1.8287,0.49073,-3.3569,-4.0901,2.1271,6,1
0.94864,-3.1713,1.4907,1.6431,0.90987,-2.8729,6,0
-0.051355,-3.1713,-0.50927,-3.3569,-0.090131,-2.8729,6,1
-0.051355,-0.17131,0.49073,-0.35689,-0.090131,0.12709,6,0
-2.0514,-1.1713,-2.5093,3.6431,-4.0901,-0.87291,6,0
-2.0514,-3.1713,-0.50927,1.6431,-2.0901,-2.8729,6,0
4.9486,-1.1713,1.4907,3.6431,4.9099,-0.87291,6,1
1.9486,4.8287,-1.5093,1.6431,1.9099,5.1271,6,0
0.94864,5.8287,1.4907,5.6431,0.90987,6.1271,6,1
0.94864,4.8287,0.49073,1.6431,0.90987,5.1271,6,1
4.9486,0.82869,4.4907,1.6431,4.9099,1.1271,6,0
-1.0514,-3.1713,0.49073,4.6431,-1.0901,-2.8729,6,0
-3.0514,3.8287,4.4907,4.6431,-3.0901,4.1271,6,0
-1.0514,-3.1713,5.4907,-1.3569,-1.0901,-0.87291,6,1
-1.0514,3.8287,5.4907,4.6431,-1.0901,4.1271,6,1
-1.0514,-0.17131,5.4907,-0.35689,-1.0901,0.12709,6,1
-1.0514,-1.1713,5.4907,1.6431,-1.0901,-0.87291,6,1
-2.0514,-2.1713,5.4907,-1.3569,-1.0901,-0.87291,6,0
5.9486,5.8287,-2.5093,-1.3569,5.9099,6.1271,6,1
-2.0514,-2.1713,-1.5093,-1.3569,-2.0901,-0.87291,6,1
0.94864,5.8287,-2.5093,-3.3569,0.90987,5.1271,6,0
-2.0514,5.8287,-2.5093,-3.3569,-2.0901,5.1271,6,1
5.9486,-2.1713,-2.5093,-2.3569,5.9099,-1.8729,6,0
-2.0514,-3.1713,6.4907,5.6431,-2.0901,-2.8729,6,1
-2.0514,-2.1713,6.4907,-1.3569,-2.0901,-1.8729,6,1
6.9486,-2.1713,6.4907,-2.3569,6.9099,-1.8729,6,1
-4.0514,5.8287,-4.5093,-4.3569,-4.0901,6.1271,6,1
6.9486,-4.1713,6.4907,-5.3569,6.9099,-3.8729,6,0
