MB_X,MB_Y,MF_X,MF_Y,Subj,Choice
-2.0033,-0.88447,-1.9249,-2.8334,1,1
-2.0033,3.1155,-1.9249,-1.8334,1,1
-2.0033,-2.8845,0.075084,1.1666,1,1
-2.0033,-2.8845,-1.9249,-2.8334,1,0
0.99666,4.1155,4.0751,3.1666,1,1
2.9967,-0.88447,0.075084,-2.8334,1,1
2.9967,-2.8845,-1.9249,3.1666,1,1
0.99666,3.1155,4.0751,0.16662,1,1
3.9967,3.1155,4.0751,3.1666,1,0
2.9967,3.1155,3.0751,0.16662,1,0
2.9967,4.1155,3.0751,4.1666,1,0
2.9967,2.1155,0.075084,2.1666,1,1
2.9967,-3.8845,0.075084,0.16662,1,1
-0.0033364,3.1155,2.0751,4.1666,1,1
1.9967,3.1155,4.0751,0.16662,1,1
-2.0033,0.11553,4.0751,-1.8334,1,1
0.99666,-1.8845,0.075084,4.1666,1,1
-0.0033364,4.1155,-1.9249,1.1666,1,1
0.99666,4.1155,0.075084,4.1666,1,0
-0.0033364,3.1155,-1.9249,3.1666,1,1
3.9967,-3.8845,-1.9249,-3.8334,1,1
3.9967,1.1155,4.0751,1.1666,1,0
-0.0033364,0.11553,-1.9249,-3.8334,1,0
3.9967,4.1155,4.0751,1.1666,1,1
-2.0033,1.1155,-1.9249,4.1666,1,0
3.9967,4.1155,4.0751,4.1666,1,0
-2.0033,1.1155,1.0751,1.1666,1,0
3.9967,1.1155,-1.9249,1.1666,1,1
3.9967,-0.88447,-1.9249,-0.83338,1,0
-4.0033,-1.8845,-3.9249,-0.83338,1,1
3.9967,-3.8845,4.0751,-3.8334,1,0
-5.0033,-1.8845,-3.9249,3.1666,1,0
2.9967,-0.88447,4.0751,-4.8334,1,1
2.9967,-3.8845,4.0751,-3.8334,1,1
2.9967,3.1155,0.075084,3.1666,1,1
-0.0033364,-1.8845,4.0751,2.1666,1,1
-0.0033364,-0.88447,0.075084,3.1666,1,0
-3.0033,0.11553,3.0751,0.16662,1,0
2.9967,2.1155,-2.9249,-0.83338,1,0
3.9967,-2.8845,4.0751,0.16662,1,0
3.9967,2.1155,4.0751,-0.83338,1,1
-0.0033364,-4.8845,4.0751,-4.8334,1,0
2.9967,-2.8845,4.0751,0.16662,1,1
-0.0033364,-4.8845,4.0751,-4.8334,1,0
-5.0033,0.11553,3.0751,-2.8334,1,1
-2.0033,-4.8845,-1.9249,3.1666,1,0
-0.0033364,1.1155,-4.9249,1.1666,1,0
3.9967,3.1155,3.0751,3.1666,1,1
3.9967,-2.8845,-4.9249,1.1666,1,1
2.9967,1.1155,0.075084,-2.8334,1,1
2.9967,-4.8845,0.075084,2.1666,1,1
1.9967,4.1155,0.075084,-4.8334,1,1
3.9967,-4.8845,3.0751,4.1666,1,0
2.9967,2.1155,3.0751,4.1666,1,0
-3.0033,-4.8845,0.075084,-4.8334,1,0
-5.0033,-0.88447,5.0751,-0.83338,2,1
4.9967,1.1155,4.0751,-0.83338,2,1
-1.0033,-0.88447,5.0751,4.1666,2,0
-3.0033,5.1155,-0.92492,4.1666,2,0
2.9967,-0.88447,5.0751,-2.8334,2,0
4.9967,1.1155,3.0751,-2.8334,2,0
2.9967,3.1155,3.0751,-2.8334,2,0
-0.0033364,3.1155,0.075084,4.1666,2,1
-0.0033364,4.1155,0.075084,4.1666,2,1
-0.0033364,5.1155,-0.92492,5.1666,2,1
-3.0033,-0.88447,0.075084,5.1666,2,1
-0.0033364,5.1155,-0.92492,-2.8334,2,0
-3.0033,1.1155,0.075084,-2.8334,2,1
-3.0033,-0.88447,-2.9249,-0.83338,2,0
-0.0033364,4.1155,4.0751,0.16662,2,0
0.99666,4.1155,1.0751,0.16662,2,1
0.99666,5.1155,0.075084,5.1666,2,0
-0.0033364,-0.88447,3.0751,-0.83338,2,1
4.9967,0.11553,5.0751,4.1666,2,0
-1.0033,-0.88447,3.0751,1.1666,2,1
2.9967,3.1155,3.0751,-0.83338,2,1
2.9967,2.1155,3.0751,3.1666,2,1
3.9967,4.1155,2.0751,4.1666,2,0
2.9967,-0.88447,4.0751,4.1666,2,0
-1.0033,3.1155,4.0751,3.1666,2,1
3.9967,2.1155,3.0751,4.1666,2,1
3.9967,3.1155,3.0751,2.1666,2,0
3.9967,3.1155,4.0751,3.1666,2,1
3.9967,2.1155,4.0751,2.1666,2,0
-1.0033,4.1155,3.0751,4.1666,2,1
-1.0033,2.1155,3.0751,3.1666,2,1
3.9967,3.1155,1.0751,2.1666,2,1
3.9967,0.11553,1.0751,2.1666,2,1
3.9967,0.11553,3.0751,2.1666,2,1
-1.0033,2.1155,3.0751,-1.8334,2,0
3.9967,3.1155,3.0751,3.1666,2,1
0.99666,-1.8845,0.075084,-1.8334,2,0
3.9967,1.1155,3.0751,1.1666,2,1
0.99666,2.1155,1.0751,-1.8334,2,1
4.9967,-1.8845,3.0751,-0.83338,2,0
2.9967,1.1155,2.0751,1.1666,2,0
3.9967,1.1155,4.0751,1.1666,2,1
1.9967,-1.8845,4.0751,-0.83338,2,1
4.9967,4.1155,5.0751,5.1666,2,1
4.9967,4.1155,5.0751,4.1666,2,1
1.9967,1.1155,4.0751,5.1666,2,1
1.9967,2.1155,4.0751,5.1666,2,1
3.9967,2.1155,4.0751,4.1666,2,0
2.9967,2.1155,4.0751,2.1666,2,0
4.9967,5.1155,4.0751,2.1666,2,1
2.9967,2.1155,3.0751,1.1666,2,0
0.99666,2.1155,1.0751,1.1666,2,0
0.99666,2.1155,3.0751,4.1666,2,0
0.99666,-4.8845,3.0751,-4.8334,2,0
4.9967,-0.88447,4.0751,-4.8334,2,0
-2.0033,1.1155,1.0751,1.1666,2,1
-2.0033,1.1155,1.0751,1.1666,2,1
-2.0033,-0.88447,1.0751,-4.8334,2,0
0.99666,3.1155,-2.9249,1.1666,2,1
-3.0033,-0.88447,-1.9249,-4.8334,2,0
2.9967,-4.8845,-3.9249,-4.8334,2,0
-4.0033,3.1155,-2.9249,3.1666,2,1
-1.0033,-0.88447,-0.92492,-4.8334,2,1
-5.0033,-0.88447,-4.9249,1.1666,2,0
-2.0033,-0.88447,-2.9249,1.1666,2,1
-4.0033,-4.8845,-2.9249,0.16662,2,1
-0.0033364,-0.88447,0.075084,-1.8334,2,0
-1.0033,0.11553,-1.9249,-0.83338,2,0
-4.0033,1.1155,-2.9249,0.16662,2,1
-0.0033364,0.11553,-0.92492,-4.8334,2,1
-1.0033,1.1155,-2.9249,-0.83338,2,0
-0.0033364,0.11553,0.075084,-0.83338,2,0
-0.0033364,-0.88447,2.0751,-0.83338,2,1
1.9967,1.1155,2.0751,-0.83338,2,1
-0.0033364,-0.88447,2.0751,-0.83338,2,1
1.9967,-4.8845,-0.92492,-3.8334,2,1
0.99666,-0.88447,3.0751,1.1666,2,0
3.9967,-0.88447,2.0751,1.1666,2,0
3.9967,-0.88447,4.0751,-0.83338,2,0
2.9967,-0.88447,4.0751,-0.83338,2,0
2.9967,-0.88447,3.0751,-0.83338,2,0
3.9967,-0.88447,1.0751,1.1666,2,0
2.9967,-3.8845,3.0751,-0.83338,2,0
1.9967,1.1155,3.0751,1.1666,2,0
4.9967,1.1155,5.0751,-3.8334,2,0
-0.0033364,1.1155,-0.92492,-3.8334,2,0
2.9967,-3.8845,0.075084,-0.83338,2,1
2.9967,-3.8845,-3.9249,1.1666,2,0
-4.0033,4.1155,1.0751,4.1666,2,1
-0.0033364,1.1155,0.075084,1.1666,2,0
3.9967,3.1155,1.0751,1.1666,2,1
3.9967,-3.8845,4.0751,1.1666,2,0
-0.0033364,1.1155,1.0751,1.1666,2,0
0.99666,1.1155,1.0751,4.1666,2,1
-0.0033364,1.1155,0.075084,1.1666,2,0
-3.0033,1.1155,-2.9249,1.1666,2,0
3.9967,4.1155,1.0751,4.1666,2,1
0.99666,4.1155,1.0751,1.1666,2,0
-0.0033364,3.1155,0.075084,3.1666,2,1
3.9967,1.1155,1.0751,1.1666,2,1
3.9967,0.11553,1.0751,0.16662,2,1
3.9967,-2.8845,1.0751,1.1666,2,0
0.99666,4.1155,1.0751,0.16662,2,0
3.9967,0.11553,-0.92492,0.16662,2,1
-3.0033,3.1155,-0.92492,1.1666,2,0
-0.0033364,3.1155,0.075084,3.1666,2,1
3.9967,-0.88447,0.075084,1.1666,2,0
2.9967,4.1155,3.0751,-3.8334,2,0
-4.0033,4.1155,-2.9249,3.1666,2,1
-0.0033364,-3.8845,-3.9249,-2.8334,2,0
-0.0033364,-3.8845,0.075084,1.1666,2,1
-0.0033364,-3.8845,0.075084,-3.8334,2,0
-3.0033,-3.8845,0.075084,-3.8334,2,1
-3.0033,-2.8845,0.075084,-2.8334,2,0
-0.0033364,3.1155,-2.9249,-2.8334,2,1
-3.0033,1.1155,-2.9249,1.1666,2,1
-3.0033,3.1155,-2.9249,-2.8334,2,0
-3.0033,-2.8845,-2.9249,-2.8334,2,1
-4.0033,1.1155,-3.9249,4.1666,2,1
-3.0033,-2.8845,-2.9249,-2.8334,2,0
-4.0033,1.1155,-3.9249,1.1666,2,1
4.9967,-2.8845,5.0751,-2.8334,2,0
4.9967,3.1155,-2.9249,3.1666,2,1
2.9967,1.1155,2.0751,3.1666,2,1
4.9967,3.1155,-2.9249,1.1666,2,1
4.9967,3.1155,-2.9249,3.1666,2,1
4.9967,2.1155,2.0751,-2.8334,2,0
-4.0033,3.1155,-3.9249,4.1666,2,1
-4.0033,-0.88447,-2.9249,-2.8334,2,0
1.9967,3.1155,-3.9249,3.1666,2,1
1.9967,3.1155,-3.9249,3.1666,2,1
-4.0033,1.1155,-3.9249,1.1666,2,1
3.9967,2.1155,-0.92492,-2.8334,2,1
-4.0033,-0.88447,-3.9249,1.1666,2,1
3.9967,1.1155,-1.9249,-2.8334,2,1
3.9967,4.1155,-0.92492,4.1666,2,1
3.9967,3.1155,-0.92492,-3.8334,2,0
-2.0033,1.1155,-1.9249,1.1666,2,1
-3.0033,2.1155,-3.9249,2.1666,2,1
-3.0033,-1.8845,-3.9249,-1.8334,2,1
-3.0033,2.1155,1.0751,2.1666,2,1
3.9967,1.1155,1.0751,-3.8334,2,1
-1.0033,4.1155,-0.92492,-2.8334,2,0
0.99666,4.1155,1.0751,-2.8334,2,0
-2.0033,1.1155,1.0751,-1.8334,2,0
0.99666,-1.8845,-1.9249,-2.8334,2,1
-3.0033,-2.8845,-1.9249,-3.8334,2,1
-4.0033,2.1155,-1.9249,2.1666,2,1
-4.0033,1.1155,-1.9249,-1.8334,2,1
-4.0033,1.1155,3.0751,-1.8334,2,0
0.99666,-1.8845,-1.9249,-1.8334,2,1
-3.0033,1.1155,-1.9249,-1.8334,2,1
-3.0033,-3.8845,-1.9249,-3.8334,2,1
-3.0033,2.1155,-1.9249,2.1666,2,1
-2.0033,1.1155,-1.9249,-1.8334,2,1
2.9967,-1.8845,3.0751,3.1666,2,1
-3.0033,-1.8845,-1.9249,-3.8334,2,1
-2.0033,3.1155,-1.9249,3.1666,2,1
2.9967,-0.88447,-0.92492,-2.8334,2,0
-3.0033,3.1155,-1.9249,-0.83338,2,1
-3.0033,-2.8845,-1.9249,-2.8334,2,1
-3.0033,0.11553,-1.9249,0.16662,2,1
-4.0033,2.1155,0.075084,1.1666,3,0
0.99666,5.1155,1.0751,-3.8334,3,1
0.99666,-1.8845,1.0751,-1.8334,3,1
-4.0033,1.1155,1.0751,-1.8334,3,0
0.99666,-0.88447,-1.9249,-0.83338,3,0
2.9967,1.1155,1.0751,-1.8334,3,0
0.99666,0.11553,0.075084,-0.83338,3,0
-0.0033364,-1.8845,3.0751,-1.8334,3,0
2.9967,-1.8845,-0.92492,-1.8334,3,0
-2.0033,1.1155,0.075084,-1.8334,3,0
2.9967,-1.8845,3.0751,-1.8334,3,0
-4.0033,2.1155,0.075084,3.1666,3,0
-0.0033364,-1.8845,-3.9249,-1.8334,3,1
-4.0033,-0.88447,-3.9249,3.1666,3,0
0.99666,0.11553,3.0751,2.1666,3,0
-4.0033,-0.88447,-0.92492,2.1666,3,0
-0.0033364,2.1155,-3.9249,2.1666,3,0
1.9967,4.1155,-2.9249,4.1666,3,1
4.9967,-1.8845,2.0751,1.1666,3,0
-1.0033,1.1155,4.0751,1.1666,3,0
3.9967,-1.8845,-2.9249,1.1666,3,0
-3.0033,-2.8845,5.0751,4.1666,3,0
0.99666,-1.8845,1.0751,1.1666,3,0
-3.0033,-0.88447,-0.92492,-2.8334,3,0
-1.0033,4.1155,-0.92492,1.1666,3,1
0.99666,1.1155,-0.92492,1.1666,3,1
0.99666,-0.88447,-0.92492,4.1666,3,1
-1.0033,3.1155,-0.92492,-2.8334,3,0
0.99666,-2.8845,3.0751,-2.8334,3,0
-3.0033,-1.8845,-2.9249,-3.8334,3,1
-3.0033,3.1155,-2.9249,-2.8334,3,0
-5.0033,-3.8845,-2.9249,-1.8334,3,1
0.99666,-2.8845,-1.9249,-2.8334,3,1
-5.0033,-1.8845,-2.9249,-1.8334,3,0
0.99666,-4.8845,-4.9249,-4.8334,3,1
-5.0033,-1.8845,-4.9249,-1.8334,3,1
0.99666,1.1155,-4.9249,1.1666,3,1
0.99666,-4.8845,-1.9249,-2.8334,3,0
2.9967,-1.8845,-4.9249,0.16662,3,1
2.9967,-1.8845,-4.9249,-4.8334,3,1
-4.0033,0.11553,-0.92492,0.16662,3,1
0.99666,-3.8845,-4.9249,-2.8334,3,1
-2.0033,1.1155,-4.9249,1.1666,3,0
2.9967,0.11553,1.0751,1.1666,3,1
2.9967,-0.88447,1.0751,-2.8334,3,0
-3.0033,1.1155,-2.9249,0.16662,3,1
4.9967,-0.88447,5.0751,-2.8334,3,0
0.99666,-2.8845,-1.9249,-2.8334,3,0
-1.0033,0.11553,-0.92492,1.1666,3,1
-3.0033,-0.88447,-1.9249,-0.83338,3,1
-2.0033,5.1155,-3.9249,-1.8334,3,0
4.9967,1.1155,-0.92492,-0.83338,3,0
-1.0033,-2.8845,4.0751,-1.8334,3,1
-5.0033,-0.88447,-0.92492,-0.83338,3,0
-1.0033,-4.8845,-0.92492,-4.8334,3,1
-1.0033,-2.8845,4.0751,-4.8334,3,1
-1.0033,0.11553,4.0751,-2.8334,3,1
-1.0033,4.1155,0.075084,-0.83338,3,1
-1.0033,5.1155,-0.92492,5.1666,3,0
-1.0033,-0.88447,0.075084,-0.83338,3,1
-1.0033,1.1155,0.075084,3.1666,3,0
-2.0033,4.1155,-1.9249,5.1666,3,1
-1.0033,3.1155,4.0751,3.1666,3,0
1.9967,3.1155,4.0751,3.1666,3,1
1.9967,-0.88447,2.0751,-1.8334,3,0
1.9967,4.1155,4.0751,4.1666,3,1
1.9967,-0.88447,-0.92492,-1.8334,3,1
1.9967,2.1155,-0.92492,2.1666,3,0
-2.0033,-1.8845,2.0751,-1.8334,3,0
-0.0033364,4.1155,0.075084,4.1666,3,0
-0.0033364,2.1155,0.075084,-1.8334,3,0
-0.0033364,2.1155,0.075084,0.16662,3,0
1.9967,2.1155,4.0751,0.16662,3,0
-2.0033,0.11553,0.075084,-1.8334,3,0
-1.0033,2.1155,2.0751,-3.8334,3,0
-0.0033364,1.1155,-0.92492,4.1666,3,1
-4.0033,5.1155,-1.9249,5.1666,3,1
-0.0033364,5.1155,-0.92492,5.1666,3,1
-0.0033364,-3.8845,-0.92492,-3.8334,3,0
-2.0033,2.1155,-1.9249,2.1666,3,1
-4.0033,-1.8845,-1.9249,-1.8334,3,0
-3.0033,-1.8845,-3.9249,-1.8334,3,0
-1.0033,-1.8845,-1.9249,-1.8334,3,1
-3.0033,2.1155,-1.9249,-2.8334,3,1
-1.0033,4.1155,-1.9249,3.1666,3,1
0.99666,-2.8845,2.0751,0.16662,3,0
-0.0033364,0.11553,1.0751,0.16662,3,0
-1.0033,3.1155,-1.9249,3.1666,3,1
0.99666,3.1155,-2.9249,0.16662,3,1
-1.0033,5.1155,-2.9249,0.16662,3,1
0.99666,-4.8845,5.0751,-2.8334,3,1
-3.0033,1.1155,-1.9249,5.1666,3,1
-3.0033,4.1155,-1.9249,4.1666,3,1
3.9967,-2.8845,-2.9249,-1.8334,3,1
2.9967,-2.8845,-2.9249,-1.8334,3,1
-4.0033,4.1155,-3.9249,4.1666,3,1
2.9967,-3.8845,-2.9249,-3.8334,3,1
3.9967,-1.8845,-2.9249,3.1666,3,0
2.9967,-1.8845,3.0751,3.1666,3,0
4.9967,-2.8845,-1.9249,-2.8334,3,1
2.9967,-2.8845,-3.9249,-2.8334,3,1
3.9967,-1.8845,4.0751,-3.8334,3,0
4.9967,-4.8845,-1.9249,-4.8334,3,0
2.9967,-3.8845,-4.9249,3.1666,3,0
-5.0033,4.1155,-3.9249,-3.8334,3,0
0.99666,-3.8845,-3.9249,3.1666,3,1
3.9967,-3.8845,1.0751,-3.8334,3,0
-2.0033,-4.8845,-3.9249,-4.8334,3,1
3.9967,-2.8845,-3.9249,-1.8334,3,0
4.9967,-2.8845,5.0751,-1.8334,3,1
0.99666,-1.8845,-3.9249,-4.8334,3,1
0.99666,4.1155,-2.9249,4.1666,3,0
4.9967,-4.8845,5.0751,-0.83338,3,0
-1.0033,4.1155,-3.9249,4.1666,3,1
0.99666,-0.88447,-3.9249,-0.83338,3,1
3.9967,2.1155,-3.9249,4.1666,3,1
3.9967,2.1155,-3.9249,2.1666,3,1
4.9967,-3.8845,1.0751,-3.8334,3,0
4.9967,3.1155,-3.9249,2.1666,3,1
4.9967,2.1155,-3.9249,2.1666,3,1
3.9967,1.1155,-3.9249,1.1666,3,1
3.9967,5.1155,-3.9249,5.1666,3,0
-0.0033364,-0.88447,-0.92492,5.1666,3,0
-0.0033364,-0.88447,0.075084,-3.8334,3,0
-5.0033,-1.8845,0.075084,-0.83338,3,0
-1.0033,-0.88447,-4.9249,-3.8334,3,0
4.9967,-4.8845,-3.9249,5.1666,3,1
-0.0033364,-0.88447,-0.92492,-3.8334,3,1
-0.0033364,0.11553,0.075084,-4.8334,3,1
4.9967,-1.8845,0.075084,-0.83338,3,1
4.9967,-4.8845,-0.92492,-2.8334,3,1
-4.0033,-2.8845,0.075084,-2.8334,3,0
-0.0033364,-0.88447,-3.9249,-2.8334,3,0
-4.0033,5.1155,-3.9249,0.16662,3,0
0.99666,-2.8845,0.075084,-2.8334,3,0
-3.0033,-0.88447,-0.92492,-2.8334,3,0
-1.0033,-3.8845,-3.9249,-3.8334,3,1
-3.0033,-0.88447,1.0751,-2.8334,3,0
-4.0033,-2.8845,1.0751,-2.8334,3,0
-4.0033,-3.8845,-0.92492,-3.8334,3,1
0.99666,1.1155,-3.9249,-0.83338,3,1
-1.0033,-0.88447,1.0751,-2.8334,3,0
-4.0033,-0.88447,-0.92492,-2.8334,3,0
0.99666,4.1155,-3.9249,4.1666,3,0
3.9967,0.11553,4.0751,0.16662,3,1
-0.0033364,-0.88447,4.0751,4.1666,3,1
0.99666,4.1155,4.0751,4.1666,3,0
-5.0033,0.11553,3.0751,4.1666,3,0
2.9967,4.1155,0.075084,4.1666,3,0
-0.0033364,-2.8845,0.075084,-2.8334,3,1
-0.0033364,0.11553,-4.9249,4.1666,3,0
3.9967,1.1155,-3.9249,1.1666,3,0
0.99666,0.11553,4.0751,4.1666,3,1
-4.0033,4.1155,4.0751,1.1666,3,0
-3.0033,3.1155,-2.9249,1.1666,3,1
1.9967,4.1155,0.075084,1.1666,3,0
0.99666,1.1155,-2.9249,1.1666,3,1
1.9967,-2.8845,2.0751,3.1666,3,0
1.9967,-2.8845,-2.9249,3.1666,3,1
-0.0033364,2.1155,-2.9249,-2.8334,3,1
0.99666,3.1155,-2.9249,0.16662,3,0
0.99666,2.1155,2.0751,2.1666,3,1
4.9967,3.1155,2.0751,1.1666,4,0
0.99666,-2.8845,2.0751,5.1666,4,0
-2.0033,2.1155,1.0751,3.1666,4,1
4.9967,5.1155,-1.9249,5.1666,4,0
-2.0033,5.1155,1.0751,5.1666,4,0
-2.0033,5.1155,-1.9249,5.1666,4,1
-2.0033,-4.8845,-1.9249,5.1666,4,1
3.9967,-1.8845,-4.9249,4.1666,4,0
3.9967,-1.8845,4.0751,4.1666,4,0
-2.0033,-2.8845,2.0751,-2.8334,4,1
-2.0033,-2.8845,-1.9249,-2.8334,4,1
-2.0033,2.1155,4.0751,-3.8334,4,0
-2.0033,1.1155,-1.9249,1.1666,4,1
-2.0033,-3.8845,-1.9249,-3.8334,4,1
-2.0033,-0.88447,-1.9249,-0.83338,4,1
1.9967,-1.8845,2.0751,2.1666,4,0
-2.0033,-2.8845,2.0751,0.16662,4,0
-3.0033,3.1155,-1.9249,3.1666,4,1
-2.0033,-2.8845,-1.9249,-2.8334,4,1
-2.0033,3.1155,0.075084,3.1666,4,1
-2.0033,0.11553,-1.9249,0.16662,4,0
-1.0033,0.11553,-0.92492,0.16662,4,0
-5.0033,3.1155,-1.9249,0.16662,4,1
-2.0033,-4.8845,2.0751,-4.8334,4,1
-2.0033,-0.88447,2.0751,-0.83338,4,0
-5.0033,-0.88447,-4.9249,-0.83338,4,0
1.9967,0.11553,0.075084,4.1666,4,0
-1.0033,4.1155,-1.9249,-0.83338,4,0
-1.0033,4.1155,-3.9249,-0.83338,4,1
-4.0033,4.1155,4.0751,4.1666,4,0
-3.0033,4.1155,-3.9249,-3.8334,4,1
-4.0033,4.1155,-3.9249,4.1666,4,1
-1.0033,3.1155,-0.92492,3.1666,4,1
-3.0033,4.1155,-0.92492,4.1666,4,0
-1.0033,3.1155,-2.9249,3.1666,4,0
-4.0033,-2.8845,-3.9249,-2.8334,4,0
-4.0033,3.1155,-3.9249,3.1666,4,0
3.9967,4.1155,4.0751,-2.8334,4,1
-4.0033,3.1155,4.0751,3.1666,4,0
3.9967,0.11553,-3.9249,3.1666,4,0
3.9967,0.11553,4.0751,3.1666,4,0
4.9967,1.1155,5.0751,1.1666,4,0
2.9967,3.1155,3.0751,3.1666,4,0
4.9967,0.11553,5.0751,3.1666,4,1
-4.0033,3.1155,5.0751,3.1666,4,1
-0.0033364,-3.8845,0.075084,5.1666,4,0
-2.0033,-3.8845,-1.9249,5.1666,4,0
-3.0033,5.1155,1.0751,5.1666,4,0
4.9967,0.11553,-2.9249,-2.8334,4,1
4.9967,3.1155,-2.9249,5.1666,4,1
4.9967,1.1155,5.0751,1.1666,4,1
0.99666,5.1155,5.0751,3.1666,4,0
