MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-4.114,-0.39379,-4.8546,-0.10783,0.43549,0.14463,-0.0098123,0.015519,2,1
-0.11399,-3.3938,5.1454,-3.1078,0.43549,-2.8554,-0.0098123,0.015519,2,0
-4.114,-1.3938,-3.8546,-3.1078,-3.5645,0.14463,-0.0098123,0.015519,2,0
-5.114,-2.3938,-0.85457,-5.1078,-4.5645,-4.8554,-0.0098123,0.015519,2,0
-2.114,-2.3938,-4.8546,-3.1078,-4.5645,-2.8554,-0.0098123,0.015519,2,0
-6.114,-0.39379,-5.8546,-2.1078,-5.5645,-1.8554,-0.0098123,0.015519,2,0
-1.114,-4.3938,-2.8546,-4.1078,0.43549,-3.8554,-0.0098123,0.015519,2,0
-4.114,-4.3938,-0.85457,-4.1078,0.43549,-3.8554,-0.0098123,0.015519,2,0
-1.114,-1.3938,0.14543,0.89217,-0.56451,-2.8554,-0.0098123,0.015519,2,1
-0.11399,4.6062,-4.8546,-2.1078,-0.56451,5.1446,-0.0098123,0.015519,2,1
-4.114,-0.39379,-3.8546,-5.1078,-3.5645,-0.85537,-0.0098123,0.015519,2,0
-4.114,-1.3938,-4.8546,-4.1078,-4.5645,-3.8554,-0.0098123,0.015519,2,0
-4.114,-4.3938,0.14543,-2.1078,0.43549,-1.8554,-0.0098123,0.015519,2,0
-0.11399,-1.3938,6.1454,-2.1078,-1.5645,-0.85537,-0.0098123,0.015519,2,0
-1.114,-1.3938,-1.8546,-4.1078,-0.56451,-3.8554,-0.0098123,0.015519,2,1
5.886,-2.3938,-1.8546,-2.1078,6.4355,1.1446,-0.0098123,0.015519,2,0
-2.114,-0.39379,-2.8546,-2.1078,-2.5645,-1.8554,-0.0098123,0.015519,2,1
-0.11399,-0.39379,-2.8546,-0.10783,-2.5645,0.14463,-0.0098123,0.015519,2,1
-0.11399,-0.39379,-1.8546,-1.1078,-3.5645,-0.85537,-0.0098123,0.015519,2,1
-1.114,-3.3938,-1.8546,-3.1078,-1.5645,-2.8554,-0.0098123,0.015519,2,0
-1.114,-1.3938,-1.8546,-0.10783,-0.56451,0.14463,-0.0098123,0.015519,2,1
-0.11399,-0.39379,-1.8546,-2.1078,-3.5645,-0.85537,-0.0098123,0.015519,2,0
-2.114,-2.3938,-2.8546,0.89217,-0.56451,-1.8554,-0.0098123,0.015519,2,0
-0.11399,0.60621,0.14543,0.89217,0.43549,1.1446,-0.0098123,0.015519,2,0
0.88601,0.60621,-1.8546,-3.1078,-0.56451,-2.8554,-0.0098123,0.015519,2,0
-3.114,0.60621,-2.8546,0.89217,-2.5645,1.1446,-0.0098123,0.015519,2,0
-3.114,-3.3938,-2.8546,0.89217,-2.5645,1.1446,-0.0098123,0.015519,2,1
5.886,-3.3938,-0.85457,-3.1078,-1.5645,-2.8554,-0.0098123,0.015519,2,1
-2.114,-2.3938,0.14543,0.89217,-1.5645,-1.8554,-0.0098123,0.015519,2,0
5.886,-2.3938,-0.85457,-2.1078,-1.5645,-1.8554,-0.0098123,0.015519,2,0
-0.11399,0.60621,1.1454,-3.1078,1.4355,1.1446,-0.0098123,0.015519,2,0
-2.114,-2.3938,1.1454,-2.1078,-1.5645,-1.8554,-0.0098123,0.015519,2,0
0.88601,0.60621,-2.8546,-2.1078,-2.5645,0.14463,-0.0098123,0.015519,2,1
-3.114,-3.3938,-2.8546,-3.1078,-2.5645,-2.8554,-0.0098123,0.015519,2,1
-4.114,-3.3938,-2.8546,-3.1078,-2.5645,-2.8554,-0.0098123,0.015519,2,1
-4.114,-4.3938,-2.8546,-4.1078,-2.5645,-3.8554,-0.0098123,0.015519,2,0
-4.114,4.6062,-1.8546,4.8922,-1.5645,5.1446,-0.0098123,0.015519,2,1
-4.114,-2.3938,-1.8546,-3.1078,-1.5645,-2.8554,-0.0098123,0.015519,2,0
0.88601,1.6062,-0.85457,-4.1078,-2.5645,1.1446,-0.0098123,0.015519,2,1
0.88601,-1.3938,-2.8546,3.8922,1.4355,-0.85537,-0.0098123,0.015519,2,0
1.886,2.6062,2.1454,2.8922,2.4355,3.1446,-0.0098123,0.015519,2,0
2.886,2.6062,3.1454,-1.1078,3.4355,-2.8554,-0.0098123,0.015519,2,0
-4.114,-4.3938,3.1454,-1.1078,-3.5645,-0.85537,-0.0098123,0.015519,2,0
-1.114,-4.3938,4.1454,-4.1078,-2.5645,-3.8554,-0.0098123,0.015519,2,1
3.886,2.6062,4.1454,-4.1078,4.4355,3.1446,-0.0098123,0.015519,2,0
