-2,1,1,0
-5,1,1,0
5,1,1,0
5,1,1,0
-4,1,1,0
4,1,1,0
3,1,1,0
-5,1,1,0
-2,1,1,0
-5,1,1,0
-5,1,1,0
-5,1,1,0
-5,1,1,0
-2,1,1,0
-5,1,1,0
-5,1,1,0
-5,1,1,0
4,1,1,0
-5,1,1,0
-5,1,1,0
5,0,1,0
5,1,1,0
5,1,1,0
5,1,1,0
-3,1,1,0
-5,0,1,0
4,0,2,0
-2,0,2,0
3,0,2,0
-3,1,2,0
4,1,2,0
-5,1,2,0
-5,0,2,0
4,1,2,0
3,0,2,0
5,1,2,0
3,1,2,0
-2,1,2,0
5,0,2,0
5,0,2,0
5,1,2,0
-2,1,2,0
4,1,2,0
-5,1,2,0
-5,0,2,0
-4,1,2,0
-3,1,2,0
-5,1,2,0
4,0,2,0
5,1,2,0
-3,1,2,0
5,1,2,0
5,1,3,0
4,1,3,0
-5,1,3,0
-4,0,3,0
5,1,3,0
-5,1,3,0
5,0,3,0
5,1,3,0
3,1,3,0
3,1,3,0
-3,1,3,0
-5,0,3,0
-5,1,3,0
-2,1,3,0
5,1,3,0
5,1,3,0
4,1,3,0
5,1,3,0
-4,1,3,0
5,1,3,0
-2,0,3,0
4,0,3,0
3,1,3,0
-5,0,3,0
4,1,3,0
-5,1,3,0
4,1,4,0
5,1,4,0
5,1,4,0
-4,1,4,0
5,1,4,0
-3,1,4,0
-5,1,4,0
4,1,4,0
-5,0,4,0
-3,1,4,0
-5,0,4,0
-4,0,4,0
-5,1,4,0
-5,1,4,0
-5,0,4,0
3,0,4,0
5,1,4,0
-5,1,4,0
-4,1,4,0
-5,1,4,0
-5,1,4,0
-4,0,4,0
-4,1,4,0
3,1,4,0
4,0,4,0
-5,1,5,0
5,1,5,0
5,1,5,0
5,1,5,0
-5,1,5,0
-2,1,5,0
-3,1,5,0
5,1,5,0
5,1,5,0
5,1,5,0
-2,1,5,0
5,1,5,0
-3,1,5,0
-3,1,5,0
-2,1,5,0
5,1,5,0
-4,1,5,0
-5,1,5,0
-4,1,5,0
-5,1,5,0
-4,1,5,0
-2,1,5,0
-4,1,5,0
-3,1,5,0
5,1,5,0
5,1,5,0
-5,1,6,0
5,1,6,0
3,1,6,0
3,1,6,0
-5,1,6,0
5,1,6,0
-5,1,6,0
5,0,6,0
5,0,6,0
4,0,6,0
5,1,6,0
-5,0,6,0
-5,0,6,0
5,1,6,0
