MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-0.29035,-0.3588,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,1
-0.29035,-0.3588,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,0
-0.29035,-0.3588,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,0
-0.29035,0.6412,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,0
-0.29035,-2.3588,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,0
-2.2904,0.6412,2.4914,-0.47272,2.572,-0.44568,0.092621,0.084541,1,0
0.70965,1.6412,-0.50865,0.52728,-0.42805,0.55432,0.092621,0.084541,1,0
-0.29035,-0.3588,1.4914,-1.4727,0.57195,0.55432,0.092621,0.084541,1,0
-2.2904,1.6412,2.4914,-3.4727,3.572,-3.4457,0.092621,0.084541,1,0
1.7096,1.6412,-3.5086,0.52728,-3.428,0.55432,0.092621,0.084541,1,1
1.7096,1.6412,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,0
-0.29035,-0.3588,3.4914,-1.4727,0.57195,0.55432,0.092621,0.084541,1,1
2.7096,2.6412,-3.5086,0.52728,-4.428,0.55432,0.092621,0.084541,1,1
-0.29035,-1.3588,5.4914,0.52728,0.57195,0.55432,0.092621,0.084541,1,1
-0.29035,-0.3588,4.4914,5.5273,0.57195,0.55432,0.092621,0.084541,1,0
-2.2904,-0.3588,0.49135,-1.4727,0.57195,-1.4457,0.092621,-1.9155,1,0
-0.29035,-3.3588,-1.5086,1.5273,-1.428,3.5543,-1.9074,0.084541,1,1
1.7096,-0.3588,0.49135,2.5273,0.57195,0.55432,0.092621,0.084541,1,0
-0.29035,1.6412,-1.5086,-4.4727,-1.428,-4.4457,-1.9074,0.084541,1,0
-0.29035,1.6412,2.4914,-4.4727,0.57195,-4.4457,0.092621,0.084541,1,0
-2.2904,2.6412,7.4914,0.52728,2.572,0.55432,0.092621,0.084541,1,1
4.7096,1.6412,-7.5086,2.5273,-6.428,0.55432,0.092621,0.084541,1,0
-0.29035,3.6412,0.49135,-1.4727,0.57195,-5.4457,0.092621,0.084541,1,1
1.7096,3.6412,2.4914,2.5273,0.57195,2.5543,0.092621,2.0845,1,1
-2.2904,1.6412,0.49135,-1.4727,0.57195,-4.4457,0.092621,0.084541,1,1
5.7096,1.6412,-0.50865,-3.4727,-0.42805,2.5543,-5.9074,0.084541,1,0
-2.2904,-2.3588,0.49135,7.5273,0.57195,2.5543,0.092621,0.084541,1,1
-2.2904,-2.3588,4.4914,0.52728,4.572,0.55432,0.092621,0.084541,1,0
-0.29035,-2.3588,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,1
3.7096,-0.3588,0.49135,0.52728,0.57195,0.55432,0.092621,0.084541,1,0
4.7096,4.6412,-6.5086,-6.4727,0.57195,-4.4457,0.092621,0.084541,1,1
1.7096,1.6412,3.4914,-3.4727,0.57195,3.5543,0.092621,0.084541,1,1
